survey_id,richness
Aow Mao Wreck_2023-07-01_GlobalReef,1
Aow Mao Wreck_2023-08-01_GlobalReef,4
Aow Mao Wreck_2023-09-19_GlobalReef,7
Aow Mao Wreck_2023-09-24_GlobalReef,7
Aow Mao Wreck_2023-10-01_GlobalReef,6
Aow Mao Wreck_2023-10-15_GlobalReef,9
Aow Mao Wreck_2024-01-01_GlobalReef,7
Aow Mao Wreck_2024-04-15_GlobalReef,6
Aow Mao Wreck_2024-05-23_GlobalReef,7
Aow Mao Wreck_2024-06-05_GlobalReef,11
Aow Mao Wreck_2024-06-11_GlobalReef,12
Aow Mao Wreck_2024-06-17_GlobalReef,14
Aow Mao Wreck_2024-07-01_GlobalReef,12
Aow Mao Wreck_2024-08-01_GlobalReef,6
Aow Mao Wreck_2024-09-01_GlobalReef,13
Aow Mao Wreck_2024-10-01_GlobalReef,10
Aow Mao Wreck_2025-03-27_Emma,8
Aow Mao Wreck_2025-03-27_Niamh,8
Aow Mao Wreck_2025-03-27_Renzo,9
Aow Mao Wreck_2025-03-27_Tessa,8
Aow Mao Wreck_2025-04-10_Emma,8
Aow Mao Wreck_2025-04-10_Renzo,8
Aow Mao Wreck_2025-04-19_Niamh,5
Aow Mao Wreck_2025-04-19_Tessa,4
Aow Mao Wreck_2025-05-27_Ben,8
Aow Mao Wreck_2025-05-27_Scar,6
Aow Mao Wreck_2025-06-09_Emma J,8
Aow Mao Wreck_2025-06-09_Flo,7
Aow Mao Wreck_2025-08-06_Amira,10
Aow Mao Wreck_2025-08-06_Hanwei,11
Aow Mao Wreck_2025-08-08_Amira,11
Aow Mao Wreck_2025-08-08_Arthur,6
Aow Mao Wreck_2025-08-08_Hanwei,11
Aow Mao Wreck_2025-08-08_Louis,10
Aow Mao Wreck_2025-08-08_Maia,6
Aow Mao Wreck_2025-08-08_Nico,8
Aow Mao Wreck_2025-08-08_Tom,10
Aow Mao Wreck_2025-09-30_Scar,9
Aow Mao Wreck_2025-10-06_Jake,7
Aow Mao Wreck_2025-10-06_Ruby,8
Aow Mao Wreck_2025-10-06_Scar,12
Aow Mao Wreck_2025-10-06_Thomas,7
Aow Mao Wreck_2025-10-06_Tilda,7
Aow Mao Wreck_2025-10-20_Mathys,7
Aow Mao Wreck_2025-10-20_SK,8
Aow Mao_2023-07-01_GlobalReef,11
Aow Mao_2023-08-01_GlobalReef,15
Aow Mao_2023-09-19_GlobalReef,14
Aow Mao_2023-09-24_GlobalReef,14
Aow Mao_2023-10-11_GlobalReef,14
Aow Mao_2023-10-15_GlobalReef,12
Aow Mao_2024-01-01_GlobalReef,12
Aow Mao_2024-04-15_GlobalReef,13
Aow Mao_2024-05-23_GlobalReef,10
Aow Mao_2024-06-01_GlobalReef,14
Aow Mao_2024-06-05_GlobalReef,12
Aow Mao_2024-06-11_GlobalReef,15
Aow Mao_2024-07-29_GlobalReef,14
Aow Mao_2024-08-01_GlobalReef,14
Aow Mao_2024-09-16_GlobalReef,14
Aow Mao_2024-09-22_GlobalReef,12
Aow Mao_2024-10-25_GlobalReef,17
